apply	action	type_path	replacement_path	expected_replacement	expected_length	expected_parents	expected_function_uses	expected_listing_uses	expected_description	reason
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_0039			24	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=db8495d2898258ca9c18759c49fcacca3604aaee8c07b28ba068ada02732bb76	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_0039 *32			4	1	0	0	32-bit pointer to AnonPointee_STPlaySystemC_0039	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_003D			8	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=88fc3604761917aeefa875e61318ca04c4915311d8d29cd5f4f50ca043ba8604	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_003D *32			4	1	0	0	32-bit pointer to AnonPointee_STPlaySystemC_003D	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STT3DSprC_0020			532	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=1433e76fdecd20ce80dfca659d042ce4280d7f17e52ff4e35acccedf4395903b	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STT3DSprC_0020 *32			4	1	0	0	32-bit pointer to AnonPointee_STT3DSprC_0020	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1C67			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=2633cbbf138c33fbd502cb41bf464e91a3762aa9447d67643d46023eef466d2a	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1C67 *32			4	1	0	0	32-bit pointer to AnonPointee_SettMapMTy_1C67	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1E1E			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=2633cbbf138c33fbd502cb41bf464e91a3762aa9447d67643d46023eef466d2a	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1E1E *32			4	1	0	0	32-bit pointer to AnonPointee_SettMapMTy_1E1E	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_2204			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=75635afd192b57e39d112745cd77fcc9ca5fab31316996855b8aacc71e0f1d7b	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_2204 *32			4	1	0	0	32-bit pointer to AnonPointee_SettMapMTy_2204	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapSTy_0000			48	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=32174d234bfef2e68e0245647a093a1195c9f448c552b2b4f83c439823ad2199	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapSTy_0000 *32			4	1	0	0	32-bit pointer to AnonPointee_SettMapSTy_0000	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_1E2B			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=2633cbbf138c33fbd502cb41bf464e91a3762aa9447d67643d46023eef466d2a	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_1E2B *32			4	1	0	0	32-bit pointer to AnonPointee_SettMapTy_1E2B	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SpecPanelTy_0000			36	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=8996f97039cdd5adb7036082bfabb59f61f23546d093a784f7724d4675d26754	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SpecPanelTy_0000 *32			4	1	0	0	32-bit pointer to AnonPointee_SpecPanelTy_0000	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_000C			8	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=9895186f3065c86ac41429c9d203d3798c3526ad8ee01cad871e53e26aa4c5cb	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_000C *32			4	1	0	0	32-bit pointer to AnonPointee_StartSystemTy_000C	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_0544			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=46e256abaf598bb5511ddd4a62313b806cb9444330c21dd59d30fb81f568d340	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_0544 *32			4	1	0	0	32-bit pointer to AnonPointee_StartSystemTy_0544	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_01F5			532	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=af689c67ab1d6c5af0ebea589fef844bae9d89eaaa9a7e403d05713aa0f1e631	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_01F5 *32			4	1	0	0	32-bit pointer to AnonPointee_TLOBaseTy_01F5	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0291			72	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=6ee796cd3556e4b0fc38b9512dcdf2127d704afb15bbc7ae0b5d7440fcb537e2	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0291 *32			4	1	0	0	32-bit pointer to AnonPointee_TLOBaseTy_0291	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0607			24	1	2	2	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=dda3abf817d07142d75554d79d7bdcc4eeabd9a9e2094a79caafa9a91fdbf3b2	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0607 *32			4	1	2	2	32-bit pointer to AnonPointee_TLOBaseTy_0607	still referenced
