function_address	function	target_kind	target_ordinal	target_name	current_type	storage	source	candidate_type	strong_evidence	candidate_sites	status	type_evidence	evidence_sites
005B3D60	MainMenuTy::SetMode	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
005B48E0	MainMenuTy::AnimationMainMenu	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
005B5240	MMObjTy::InitSprBut	parameter	7	param_7	/undefined4	Stack[0x1c]:4	DEFAULT		0	0	no_evidence		-
005B5240	MMObjTy::InitSprBut	parameter	8	param_8	/undefined4	Stack[0x20]:4	DEFAULT		0	0	no_evidence		-
005B5240	MMObjTy::InitSprBut	parameter	9	param_9	/undefined4	Stack[0x24]:4	DEFAULT		0	0	no_evidence		-
005B5240	MMObjTy::InitSprBut	parameter	10	param_10	/undefined4	Stack[0x28]:4	DEFAULT		0	0	no_evidence		-
005B5240	MMObjTy::InitSprBut	parameter	15	param_15	/undefined4	Stack[0x3c]:4	DEFAULT		0	0	no_evidence		-
005B5240	MMObjTy::InitSprBut	parameter	16	param_16	/undefined4	Stack[0x40]:4	DEFAULT		0	0	no_evidence		-
005B5240	MMObjTy::InitSprBut	parameter	17	param_17	/undefined4	Stack[0x44]:4	DEFAULT		0	0	no_evidence		-
005B5510	MMObjTy::CreateSprBut	parameter	1	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
005B5510	MMObjTy::CreateSprBut	parameter	2	param_2	/undefined4	Stack[0x8]:4	DEFAULT	/uint	0	1	insufficient_independent_evidence	{/uint=1}	0059DB20 -> 005B5510 @ 0059E117; zeroed full register at 0059DFE2
005B5510	MMObjTy::CreateSprBut	parameter	3	param_3	/undefined4	Stack[0xc]:4	DEFAULT		0	0	no_evidence		-
005B5510	MMObjTy::CreateSprBut	parameter	4	param_4	/undefined4	Stack[0x10]:4	DEFAULT		0	0	no_evidence		-
005B5510	MMObjTy::CreateSprBut	parameter	5	param_5	/undefined4	Stack[0x14]:4	DEFAULT		0	0	no_evidence		-
005B5510	MMObjTy::CreateSprBut	parameter	6	param_6	/undefined4	Stack[0x18]:4	DEFAULT		0	0	no_evidence		-
005B5510	MMObjTy::CreateSprBut	parameter	7	param_7	/undefined4	Stack[0x1c]:4	DEFAULT		0	0	no_evidence		-
