target	target_kind	status	detail
/SubmarineTitans/Recovered/VTables/STColl3CVTable+288	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable_at_1D5+0	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+4	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+8	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+12	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+16	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+20	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+24	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+32	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+36	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+40	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+44	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+48	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+52	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+56	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+60	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+64	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+68	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+72	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+76	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+80	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+84	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+88	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+92	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+96	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+100	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+104	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+108	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+112	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STCrabCVTable+116	vtable_slot	disabled	apply=0
