apply	shape_id	type_path	length	target_count	field_count	confidence	reason
0	AnonShape_004AD510_C348FA0E	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AD510_C348FA0E	20	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004AD610_D99117A2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AD610_D99117A2	20	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004AD650_130F68B4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AD650_130F68B4	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004ADBA0_37B5DF98	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004ADBA0_37B5DF98	8	1	1	review	legacy geometry-only anonymous family split back to the target's own observed access profile; insufficient independent field evidence
0	AnonShape_004AF080_5D31BF96	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AF080_5D31BF96	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004B0D10_23CAA7D2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B0D10_23CAA7D2	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004B1120_1111C23F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B1120_1111C23F	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004B31C0_F3AB8C37	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B31C0_F3AB8C37	872	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004B9D20_D1F14E75	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B9D20_D1F14E75	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004B9FA0_720E2108	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B9FA0_720E2108	52	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004BE1D0_AF7E63F0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004BE1D0_AF7E63F0	1456	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004BEA70_A6D9AB51	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004BEA70_A6D9AB51	1568	1	9	review	multiple consistent fixed offsets in one persistent target
0	AnonShape_004C2840_F23E8156	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C2840_F23E8156	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C2C10_99EB57EC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C2C10_99EB57EC	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C3C00_A7B0A4C0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C3C00_A7B0A4C0	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C5980_81D16755	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C5980_81D16755	1536	1	1	review	consistent nested offsets through a pointer field in one persistent target
0	AnonShape_004C5E60_EA3D928C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C5E60_EA3D928C	1236	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C6070_F5B707F0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C6070_F5B707F0	588	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C6210_D9E1F216	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C6210_D9E1F216	20	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C6440_6279B706	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C6440_6279B706	20	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C6B50_B73FAB11	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C6B50_B73FAB11	1008	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C7230_5217D923	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C7230_5217D923	1548	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C7C20_DD208578	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C7C20_DD208578	872	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004C9430_B2A6F679	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C9430_B2A6F679	1548	1	1	review	consistent nested offsets through a pointer field in one persistent target
0	AnonShape_004CBF70_37AA74A6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CBF70_37AA74A6	1540	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004CBFB0_80EF7FDF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CBFB0_80EF7FDF	1456	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004CC040_20E655C2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CC040_20E655C2	1456	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004CC7F0_1C8F1109	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CC7F0_1C8F1109	1096	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004CD390_BC3EDD5A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CD390_BC3EDD5A	1120	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004CD6F0_B6FC69DC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CD6F0_B6FC69DC	1320	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004CE640_336DA25F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CE640_336DA25F	568	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004CEB00_F62239C4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CEB00_F62239C4	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004D01F0_A7BA5910	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D01F0_A7BA5910	1540	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004D0A80_AEED3115	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D0A80_AEED3115	596	1	1	review	consistent nested offsets through a pointer field in one persistent target
0	AnonShape_004D3290_0F1DF113	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D3290_0F1DF113	40	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_004D32C0_D3D0A0C9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D32C0_D3D0A0C9	52	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004D6360_6131855A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D6360_6131855A	868	1	2	review	multiple consistent fixed offsets in one persistent target
0	AnonShape_004D6930_F065C28A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D6930_F065C28A	20	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004D6D50_2315CC10	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D6D50_2315CC10	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004D7040_D83D570C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D7040_D83D570C	288	1	1	review	single/weak fixed-offset profile retained for review
