apply	family_id	canonical_type	member_type	length	named_fields	evidence
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5E00_04F0C4FF	1184	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5F90_8AFC020B	1184	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C6100_D1CCA835	1184	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C6290_2B502C58	1184	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A433E41FD438	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A433E41FD438	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A433E41FD438	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_004137F0_350C8AE0_0059_F07A8D99	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A433E41FD438	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_006D54C0_FBA73A61_0284_041C9282	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AA54A22A6BFF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00412960_B35D15BC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00412960_B35D15BC	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AA54A22A6BFF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00412960_B35D15BC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004F2560_E9671A44	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AA54A22A6BFF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00412960_B35D15BC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00515650_BBDC7053	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AA54A22A6BFF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00412960_B35D15BC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00683780_11EA4E23	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AB57A892B2FA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0071C830_6B4541B2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0071C830_6B4541B2	116	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AB57A892B2FA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0071C830_6B4541B2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0071C870_66664424	116	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AFECD81B94B8	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0064EF90_4909407D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0064EF90_4909407D	24	0	anonymous geometry match only; no named semantic anchor
0	EXACT_AFECD81B94B8	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0064EF90_4909407D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00651770_8F77396F	24	0	anonymous geometry match only; no named semantic anchor
0	EXACT_B1D243976683	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007098A0_B7562D88	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007098A0_B7562D88	8	0	anonymous geometry match only; no named semantic anchor
0	EXACT_B1D243976683	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007098A0_B7562D88	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00709990_0FAEF1E0	8	0	anonymous geometry match only; no named semantic anchor
0	EXACT_BB850A64FF93	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006ECFC0_0064_4836A151	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006ECFC0_0064_4836A151	140	0	anonymous geometry match only; no named semantic anchor
